true/predicted,KouroshKarimkhany,KevinMorrison,MarkBendeich,NickLouth,KirstinRidley,TimFarrand,EricAuchard,JanLopatka,LynneO'Donnell,PierreTran,AlanCrosby,EdnaFernandes,AaronPressman,WilliamKazer,KarlPenhaul,SimonCowell,RogerFillion,GrahamEarnshaw,JohnMastrini,PeterHumphrey,AlexanderSmith,MatthewBunce,BradDorfman,JonathanBirt,ToddNissen,PatriciaCommins,RobinSidel,KeithWeir,LydiaZajc,DavidLawder,MartinWolk,SamuelPerry,JimGilchrist,BenjaminKangLim,TheresePoletti,MichaelConnor,DarrenSchuettler,ScottHillis,FumikoFujisaki,BernardHickey,MarcelMichelson,LynnleyBrowning,TanEeLyn,JoWinterbottom,MureDickie,SarahDavison,JaneMacartney,KevinDrawbaugh,HeatherScoffield,JoeOrtiz
MatthewBunce,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,5.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,13.0,3.0,0.0,4.0,0.0,1.0,3.0,4.0,0.0,3.0,0.0,0.0,4.0,3.0,0.0,5.0,0.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,6.0,0.0,3.0,3.0
BradDorfman,1.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,9.0,0.0,2.0,0.0,3.0,3.0,1.0,3.0,0.0,2.0,5.0,1.0,14.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,4.0,3.0,1.0,0.0
JonathanBirt,1.0,2.0,0.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,10.0,3.0,2.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0,4.0,2.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,2.0,4.0,0.0,4.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,7.0,0.0,5.0,0.0
ToddNissen,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,2.0,6.0,2.0,1.0,23.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,3.0,2.0,2.0,0.0,0.0,6.0,3.0,1.0,1.0
PatriciaCommins,0.0,2.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,0.0,1.0,1.0,8.0,5.0,4.0,1.0,3.0,0.0,0.0,15.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,4.0,0.0,11.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0
RobinSidel,3.0,3.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,3.0,7.0,2.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,3.0,0.0,3.0,12.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,4.0,1.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,1.0
KeithWeir,3.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,3.0,2.0,8.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,4.0,2.0,5.0,2.0,3.0,0.0,1.0,8.0,3.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,5.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0
LydiaZajc,4.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,7.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,6.0,3.0,1.0,3.0,0.0,0.0,5.0,3.0,19.0,2.0,0.0,2.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
DavidLawder,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,7.0,4.0,6.0,1.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,6.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,17.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,9.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
MartinWolk,0.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,1.0,4.0,4.0,1.0,2.0,1.0,13.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,9.0,3.0,0.0,0.0,2.0,1.0,2.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,3.0
SamuelPerry,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,7.0,0.0,3.0,1.0,0.0,3.0,4.0,0.0,1.0,3.0,3.0,3.0,0.0,5.0,0.0,1.0,0.0,2.0,1.0,11.0,0.0,5.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
JimGilchrist,0.0,0.0,6.0,4.0,1.0,4.0,3.0,0.0,1.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,3.0,2.0,0.0,5.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,17.0,5.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0
BenjaminKangLim,0.0,0.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,7.0,2.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,1.0,6.0,1.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0,14.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,0.0,0.0
